LENGTH	ENCODING_TYPE	MESSAGE_TYPE	SEND_TIME	RECIEVE_TIME	MESSAGE_SIZE
320	EncodeType.CUSTOM	ENGLISH_MESSAGE	0.15116879111155868	0.18109458405524492	810909
320	EncodeType.CUSTOM	CHINESE_MESSAGE	0.19544945796951652	0.711208833148703	1116829
330	EncodeType.CUSTOM	ENGLISH_MESSAGE	0.1586526669561863	0.19505016691982746	836249
330	EncodeType.CUSTOM	CHINESE_MESSAGE	0.21182633400894701	0.7402767499443144	1151729
340	EncodeType.CUSTOM	ENGLISH_MESSAGE	0.1611362500116229	0.21448204200714827	861589
340	EncodeType.CUSTOM	CHINESE_MESSAGE	0.21455529192462564	0.7674217920284718	1186629
350	EncodeType.CUSTOM	ENGLISH_MESSAGE	0.16697195917367935	0.21572687476873398	886929
350	EncodeType.CUSTOM	CHINESE_MESSAGE	0.2149533750489354	0.8282514170277864	1221529
360	EncodeType.CUSTOM	ENGLISH_MESSAGE	0.17900241701863706	0.22349916701205075	912269
360	EncodeType.CUSTOM	CHINESE_MESSAGE	0.22911058319732547	0.8491811668500304	1256429
370	EncodeType.CUSTOM	ENGLISH_MESSAGE	0.1811858331784606	0.23645683284848928	937609
370	EncodeType.CUSTOM	CHINESE_MESSAGE	0.23176745790988207	0.8958308750297874	1291329
380	EncodeType.CUSTOM	ENGLISH_MESSAGE	0.1846312501002103	0.23269637487828732	962949
380	EncodeType.CUSTOM	CHINESE_MESSAGE	0.23346583312377334	0.9329740419052541	1326229
390	EncodeType.CUSTOM	ENGLISH_MESSAGE	0.18505987501703203	0.2503169998526573	988289
390	EncodeType.CUSTOM	CHINESE_MESSAGE	0.2425564171280712	1.0038490418810397	1361129
400	EncodeType.CUSTOM	ENGLISH_MESSAGE	0.19686283404007554	0.25901799998246133	1013629
400	EncodeType.CUSTOM	CHINESE_MESSAGE	0.25102758407592773	1.0591423329897225	1396029
410	EncodeType.CUSTOM	ENGLISH_MESSAGE	0.20007616584189236	0.2918013751041144	1038969
410	EncodeType.CUSTOM	CHINESE_MESSAGE	0.2576806249562651	1.0944704168941826	1430929
420	EncodeType.CUSTOM	ENGLISH_MESSAGE	0.20079295802861452	0.29192962497472763	1064309
420	EncodeType.CUSTOM	CHINESE_MESSAGE	0.263596500037238	1.1095331250689924	1465829
430	EncodeType.CUSTOM	ENGLISH_MESSAGE	0.20733825000934303	0.29479441698640585	1089649
430	EncodeType.CUSTOM	CHINESE_MESSAGE	0.2650183751247823	1.150317749939859	1500729
440	EncodeType.CUSTOM	ENGLISH_MESSAGE	0.20990925002843142	0.3124700409825891	1114989
440	EncodeType.CUSTOM	CHINESE_MESSAGE	0.27115824981592596	1.215762959094718	1535629
450	EncodeType.CUSTOM	ENGLISH_MESSAGE	0.2191922077909112	0.32347325002774596	1140329
450	EncodeType.CUSTOM	CHINESE_MESSAGE	0.27755770878866315	1.2725222080480307	1570529
460	EncodeType.CUSTOM	ENGLISH_MESSAGE	0.21952654095366597	0.32624966697767377	1165669
460	EncodeType.CUSTOM	CHINESE_MESSAGE	0.2796032081823796	1.3097553339321166	1605429
470	EncodeType.CUSTOM	ENGLISH_MESSAGE	0.22969929198734462	0.35328629217110574	1191009
470	EncodeType.CUSTOM	CHINESE_MESSAGE	0.29093441693112254	1.3824313329532743	1640329
480	EncodeType.CUSTOM	ENGLISH_MESSAGE	0.2306647920049727	0.3454696659464389	1216349
480	EncodeType.CUSTOM	CHINESE_MESSAGE	0.29473220906220376	1.4414295831229538	1675229
490	EncodeType.CUSTOM	ENGLISH_MESSAGE	0.23852191702462733	0.3260394160170108	1241689
490	EncodeType.CUSTOM	CHINESE_MESSAGE	0.30441912496462464	1.485851916950196	1710129
500	EncodeType.CUSTOM	ENGLISH_MESSAGE	0.25086724990978837	0.3828085830900818	1267029
500	EncodeType.CUSTOM	CHINESE_MESSAGE	0.30990058300085366	1.5535479169338942	1745029
10	EncodeType.JSON	ENGLISH_MESSAGE	0.00022608297877013683	0.01315649994648993	25466
10	EncodeType.JSON	CHINESE_MESSAGE	0.00024512503296136856	0.07920345896854997	64306
20	EncodeType.JSON	ENGLISH_MESSAGE	0.0003189169801771641	0.048892916878685355	50826
20	EncodeType.JSON	CHINESE_MESSAGE	0.00046324986033141613	0.3117035839240998	128506
30	EncodeType.JSON	ENGLISH_MESSAGE	0.0004727079067379236	0.10944562498480082	76186
30	EncodeType.JSON	CHINESE_MESSAGE	0.0007209160830825567	0.6965054590255022	192706
40	EncodeType.JSON	ENGLISH_MESSAGE	0.0006332080811262131	0.19082666700705886	101546
40	EncodeType.JSON	CHINESE_MESSAGE	0.0008790830615907907	1.2223180839791894	256906
50	EncodeType.JSON	ENGLISH_MESSAGE	0.0006973329000174999	0.3297562499064952	126906
50	EncodeType.JSON	CHINESE_MESSAGE	0.001079249894246459	1.9288031249307096	321106
60	EncodeType.JSON	ENGLISH_MESSAGE	0.0010154589544981718	0.4274454158730805	152266
60	EncodeType.JSON	CHINESE_MESSAGE	0.001286792103201151	2.8055559578351676	385306
70	EncodeType.JSON	ENGLISH_MESSAGE	0.0011967080645263195	0.5819019170012325	177626
70	EncodeType.JSON	CHINESE_MESSAGE	0.001570916036143899	3.765622166916728	449506
80	EncodeType.JSON	ENGLISH_MESSAGE	0.0012763750273734331	0.7590913330204785	202986
80	EncodeType.JSON	CHINESE_MESSAGE	0.0017392497975379229	4.9044749171007425	513706
90	EncodeType.JSON	ENGLISH_MESSAGE	0.0013760831207036972	0.9492258338723332	228346
90	EncodeType.JSON	CHINESE_MESSAGE	0.0021948330104351044	6.18910774984397	577906
100	EncodeType.JSON	ENGLISH_MESSAGE	0.001939666923135519	1.1719229170121253	253707
100	EncodeType.JSON	CHINESE_MESSAGE	0.0021864171139895916	7.603542207973078	642107
110	EncodeType.JSON	ENGLISH_MESSAGE	0.0016681249253451824	1.4797649590764195	279067
110	EncodeType.JSON	CHINESE_MESSAGE	0.0025285419542342424	9.270203166874126	706307
120	EncodeType.JSON	ENGLISH_MESSAGE	0.0018727919086813927	1.6941845829132944	304427
120	EncodeType.JSON	CHINESE_MESSAGE	0.002753250068053603	11.082735582953319	770507
130	EncodeType.JSON	ENGLISH_MESSAGE	0.001878000097349286	1.9972946669440717	329787
130	EncodeType.JSON	CHINESE_MESSAGE	0.0028388339560478926	13.014161458006129	834707
140	EncodeType.JSON	ENGLISH_MESSAGE	0.002035750076174736	2.294571500038728	355147
140	EncodeType.JSON	CHINESE_MESSAGE	0.002970790956169367	15.081795499892905	898907
150	EncodeType.JSON	ENGLISH_MESSAGE	0.0024563330225646496	2.6348030839581043	380507
150	EncodeType.JSON	CHINESE_MESSAGE	0.0034858339931815863	17.121752250008285	963107
160	EncodeType.JSON	ENGLISH_MESSAGE	0.0025719169061630964	3.005560625111684	405867
160	EncodeType.JSON	CHINESE_MESSAGE	0.0033360410016030073	19.810037083923817	1027307
170	EncodeType.JSON	ENGLISH_MESSAGE	0.002425667131319642	3.43476324994117	431227
170	EncodeType.JSON	CHINESE_MESSAGE	0.0035781669430434704	22.17007845803164	1091507
180	EncodeType.JSON	ENGLISH_MESSAGE	0.002628750167787075	3.828586040996015	456587
180	EncodeType.JSON	CHINESE_MESSAGE	0.003767833113670349	24.923187291948125	1155707
190	EncodeType.JSON	ENGLISH_MESSAGE	0.002836416009813547	4.260867959121242	481947
190	EncodeType.JSON	CHINESE_MESSAGE	0.004632249940186739	27.758909167023376	1219907
200	EncodeType.JSON	ENGLISH_MESSAGE	0.0029742498882114887	4.777205083053559	507307
200	EncodeType.JSON	CHINESE_MESSAGE	0.0043152079451829195	30.756734708091244	1284107
210	EncodeType.JSON	ENGLISH_MESSAGE	0.0031483331695199013	5.222944583045319	532667
210	EncodeType.JSON	CHINESE_MESSAGE	0.004810083191841841	34.00256729195826	1348307
220	EncodeType.JSON	ENGLISH_MESSAGE	0.0031764579471200705	5.723084833007306	558027
220	EncodeType.JSON	CHINESE_MESSAGE	0.004769208142533898	37.30383341689594	1412507
230	EncodeType.JSON	ENGLISH_MESSAGE	0.003455833066254854	6.243565832963213	583387
230	EncodeType.JSON	CHINESE_MESSAGE	0.005256874952465296	40.688828374957666	1476707
240	EncodeType.JSON	ENGLISH_MESSAGE	0.003490458009764552	6.862036666832864	608747
240	EncodeType.JSON	CHINESE_MESSAGE	0.005159666994586587	44.3381554170046	1540907
250	EncodeType.JSON	ENGLISH_MESSAGE	0.003551832865923643	7.412111792014912	634107
250	EncodeType.JSON	CHINESE_MESSAGE	0.005718624917790294	48.09516416606493	1605107
260	EncodeType.JSON	ENGLISH_MESSAGE	0.0038371658883988857	-1.0	659467
260	EncodeType.JSON	CHINESE_MESSAGE	0.005421167006716132	-1.0	1669307
270	EncodeType.JSON	ENGLISH_MESSAGE	0.0036059580743312836	-1.0	684827
270	EncodeType.JSON	CHINESE_MESSAGE	0.005256250035017729	-1.0	1733507
280	EncodeType.JSON	ENGLISH_MESSAGE	0.0037123749498277903	-1.0	710187
280	EncodeType.JSON	CHINESE_MESSAGE	0.005375457927584648	-1.0	1797707
290	EncodeType.JSON	ENGLISH_MESSAGE	0.0038038750644773245	-1.0	735547
290	EncodeType.JSON	CHINESE_MESSAGE	0.005407416960224509	-1.0	1861907
300	EncodeType.JSON	ENGLISH_MESSAGE	0.004312750184908509	-1.0	760907
300	EncodeType.JSON	CHINESE_MESSAGE	0.005946541205048561	-1.0	1926107
310	EncodeType.JSON	ENGLISH_MESSAGE	0.004029666073620319	-1.0	786267
310	EncodeType.JSON	CHINESE_MESSAGE	0.005850540939718485	-1.0	1990307
320	EncodeType.JSON	ENGLISH_MESSAGE	0.004150332883000374	-1.0	811627
320	EncodeType.JSON	CHINESE_MESSAGE	0.006089957896620035	-1.0	2054507
330	EncodeType.JSON	ENGLISH_MESSAGE	0.004275582963600755	-1.0	836987
330	EncodeType.JSON	CHINESE_MESSAGE	0.006091166054829955	-1.0	2118707
340	EncodeType.JSON	ENGLISH_MESSAGE	0.004409083165228367	-1.0	862347
340	EncodeType.JSON	CHINESE_MESSAGE	0.00649775005877018	-1.0	2182907
350	EncodeType.JSON	ENGLISH_MESSAGE	0.0049017081037163734	-1.0	887707
350	EncodeType.JSON	CHINESE_MESSAGE	0.006708625005558133	-1.0	2247107
360	EncodeType.JSON	ENGLISH_MESSAGE	0.00464504212141037	-1.0	913067
360	EncodeType.JSON	CHINESE_MESSAGE	0.006870625074952841	-1.0	2311307
370	EncodeType.JSON	ENGLISH_MESSAGE	0.005105874966830015	-1.0	938427
370	EncodeType.JSON	CHINESE_MESSAGE	0.007150250021368265	-1.0	2375507
380	EncodeType.JSON	ENGLISH_MESSAGE	0.004953416995704174	-1.0	963787
380	EncodeType.JSON	CHINESE_MESSAGE	0.0073446668684482574	-1.0	2439707
390	EncodeType.JSON	ENGLISH_MESSAGE	0.00548137491568923	-1.0	989147
390	EncodeType.JSON	CHINESE_MESSAGE	0.007847041124477983	-1.0	2503907
400	EncodeType.JSON	ENGLISH_MESSAGE	0.005269666900858283	-1.0	1014507
400	EncodeType.JSON	CHINESE_MESSAGE	0.007776082959026098	-1.0	2568107
410	EncodeType.JSON	ENGLISH_MESSAGE	0.005617709131911397	-1.0	1039867
410	EncodeType.JSON	CHINESE_MESSAGE	0.007900374941527843	-1.0	2632307
420	EncodeType.JSON	ENGLISH_MESSAGE	0.00586554198525846	-1.0	1065227
420	EncodeType.JSON	CHINESE_MESSAGE	0.00818604207597673	-1.0	2696507
430	EncodeType.JSON	ENGLISH_MESSAGE	0.005756292026489973	-1.0	1090587
430	EncodeType.JSON	CHINESE_MESSAGE	0.008340582950040698	-1.0	2760707
440	EncodeType.JSON	ENGLISH_MESSAGE	0.005772041156888008	-1.0	1115947
440	EncodeType.JSON	CHINESE_MESSAGE	0.008433458162471652	-1.0	2824907
450	EncodeType.JSON	ENGLISH_MESSAGE	0.005874792113900185	-1.0	1141307
450	EncodeType.JSON	CHINESE_MESSAGE	0.008410749956965446	-1.0	2889107
460	EncodeType.JSON	ENGLISH_MESSAGE	0.006113708950579166	-1.0	1166667
460	EncodeType.JSON	CHINESE_MESSAGE	0.00873999996110797	-1.0	2953307
470	EncodeType.JSON	ENGLISH_MESSAGE	0.006265875184908509	-1.0	1192027
470	EncodeType.JSON	CHINESE_MESSAGE	0.008946625050157309	-1.0	3017507
480	EncodeType.JSON	ENGLISH_MESSAGE	0.006199875148013234	-1.0	1217387
480	EncodeType.JSON	CHINESE_MESSAGE	0.009077874943614006	-1.0	3081707
490	EncodeType.JSON	ENGLISH_MESSAGE	0.0067215419840067625	-1.0	1242747
490	EncodeType.JSON	CHINESE_MESSAGE	0.009396583074703813	-1.0	3145907
500	EncodeType.JSON	ENGLISH_MESSAGE	0.007476249942556024	-1.0	1268107
500	EncodeType.JSON	CHINESE_MESSAGE	0.010226499987766147	-1.0	3210107
